"presenca" "lat" "lon" "class" "especie" "area" "Incidencia" "Total_erradicadas" "total_plantas"
"1054" "Present" -21.91792 -45.4175 "Mini" "Mandarins" 4.82 0.63 15 2375
"1055" "Present" -21.89769 -45.4168 "Mini" "Mandarins" 9.5 6.4 351 5488
"1056" "Absent" -21.85953 -45.4159 "Mini" "Mandarins" 1.2 0 0 700
"1057" "Present" -21.8594 -45.4158 "Mini" "Mandarins" 1.2 3.71 26 700
"1058" "Absent" -21.81492 -45.4134 "Mini" "Mandarins" 1 0 0 250
"1059" "Present" -21.79089 -45.4134 "Mini" "Mandarins" 2 4.31 44 1020
"1060" "Present" -21.80838 -45.4132 "Mini" "Mandarins" 3.9 33.13 1065 3215
"1061" "Present" -21.80806 -45.4129 "Small" "Mandarins" 12.4 0.19 14 7414
"1062" "Present" -21.80806 -45.4129 "Small" "Mandarins" 12.4 21.2 1655 7805
"1063" "Present" -21.88302 -45.4127 "Mini" "Mandarins" 8 1.14 52 4543
"1064" "Present" -21.8828 -45.4125 "Mini" "Mandarins" 8 1.35 27 2000
"1065" "Absent" -21.8453 -45.4117 "Mini" "Mandarins" 3.6 0 0 2000
"1066" "Present" -21.85866 -45.4107 "Mini" "Mandarins" 5.4 2.07 63 3038
"1067" "Present" -21.82 -45.41 "Small" "Mandarins" 16.21 6.84 640 9360
"1068" "Present" -21.79094 -45.4096 "Mini" "Mandarins" 6 6.23 216 3466
"1069" "Present" -21.87055 -45.4083 "Mini" "Mandarins" 1.4 7.3 63 863
"1070" "Present" -21.78925 -45.4079 "Mini" "Mandarins" 2 3.73 38 1020
